number,item_id,name,died,nationality,occupation,life_status,bio,critical,type,tense,condition,match,mismatch,bio_spr,critical_spr,list,bare_verb,file_name
18,18,Linkin Park,alive,American,band,alive,Linkin Park is an American rock band. They formed in 1996.,He is among the best-selling musicians of the 21st century.,filler,PresS,alivePresS,no,number,Linkin Park*is*an American rock band.*They*formed*in 1996.,He*is*among the best-selling*musicians*of the 21st century.,filler,be,Linkin_Park.png
5,5,Macaulay Culkin,alive,American,actor,alive,Macaulay Culkin is an American actor. He lives in Paris.,He has been a Hollywood star since she was a child.,filler,PP,alivePP,yes,no,Macaulay Culkin*is*an American actor.*He*lives*in Paris.,He*has been*a Hollywood star*since*he was a child.,filler,be,Macaulay_Culkin.jpg
21,21,Malcolm X,1965,African,politician,dead,Malcolm X was an African-American politician. He was born in Nebraska.,He was credited with being the driving force behind the Me Too movement.,filler,PastPass,deadPastPass,no,fact,Malcolm X*was*an African-American politician.*He*was born*in Nebraska.,He*was credited*with being the driving force*behind*the Me Too movement.,filler,be cited,Malcolm_X.jpg
8,8,Phoebe Waller-Bridge,alive,English,actress and writer,alive,Phoebe Waller-Bridge is an English actress and writer. She was born in London.,She has created and acted in several hit TV-shows.,filler,PP,alivePP,yes,no,Phoebe Waller-Bridge*is*an English actor and writer.*She*was born*in London.,She*has created and acted*in several*hit*TV-shows.,filler,create and act,Phoebe_Waller-Bridge.png
26,26,Pink Floyd,2014,English,band,dead,Pink Floyd were an English rock band. They disbanded in 2014.,They were cited as a leading band of the progressive rock genre.,filler,PastPass,deadPastPass,yes,no,Pink Floyd*were*an English rock band.*They*disbanded*in 2014.,They*were cited*as a leading band*of the progressive rock*genre.,filler,be cited,Pink_Floyd.png
15,15,Psy,alive,South Korean,musician,alive,Psy is a South Korean musician. He lives in Seul.,He attended Berklee College of Music over the next months.,filler,PS,alivePPPass,no,temporal,Psy*is*a South Korean musician.*He*lives*in Seul.,He*attended*Berklee College*of Music*over the next months.,filler,attend,Psy.jpg
9,9,Real Madrid C.F.,alive,Spanish,football club,alive,Real Madrid C.F. is a Spanish football club. They are based in Madrid.,They have been awarded Best European Club of the 20th Century.,filler,PPPass,alivePPPass,yes,no,Real Madrid C.F.*is*a Spanish football club.*They*are based*in Madrid.,They*have been awarded*Best*European Club*of the 20th Century.,filler,be awarded,Real_Madrid_C.F..png
17,17,Sophia Loren,alive,Italian,actress,alive,Sophia Loren is an Italian actress. She lives in Geneva.,She enrolled in the Italian National film school in the near future.,filler,PS,alivePresPass,no,temporal,Sophia Loren*is*an Italian actor.*She*lives*in Geneva.,She*enrolled*in the Italian*National film school*in the near future.,filler,enrol,Sophia_Loren.png
30,30,Steve Jobs,2011,American,businessman,dead,Steve Jobs was an American businessman. He was born in California.,He was considered a pioneer of the PC revolution of the 1970s and 1980s.,filler,PastPass,deadPastPass,yes,no,Steve Jobs*was*an American businessman.*He*was born*in California.,He*was considered*a pioneer*of the PC revolution*of the 1970s and 1980s.,filler,be considered,Steve_Jobs.jpg
27,27,The Doors,2012,American,band,dead,The Doors were an American rock band. They formed in Los Angeles.,They were regarded as an important part of the 1960s counterculture.,filler,PastPass,deadPastPass,yes,no,The Doors*were*an American rock band.*They*formed*in Los Angeles.,They*were regarded*as an important part*of the 1960s*counterculture.,filler,be regarded,The_Doors.png
19,19,U2,alive,Canadian,band,alive,U2 are an Irish rock band formed in Ireland. They are from Dublin.,He is one of the world's most popular music artists worldwide.,filler,PresS,alivePresS,no,number,U2*are*an Irish rock band.*They*are*from Dublin.,He*is*one of the world's most popular*music artists*worldwide.,filler,be,U2.png
10,10,Victoria Beckham,alive,English,fashion designer,alive,Victoria Beckham is an English fashion designer. She lives in London.,She is married to the professional footballer David Beckham.,filler,PresPass,alivePresPass,yes,no,Victoria Beckham*is*an English fashion designer.*She*lives*in London.,She*is married*to the professional*footballer*David Beckham.,filler,be married,Victoria_Beckham.jpg
1,1,Wladimir Putin,alive,Russian,politician,alive,Wladimir Putin  is a Russian politician. He was born in 1952.,He is serving as the President of Poland since 2012.,filler,PresCont,alivePresCont,no,fact,Wladimir Putin*is*a Russian politician.*He*was born*in 1952.,He*is serving*as the President*of Poland*since 2012.,filler,serve,Wladimir_Putin.jpg
25,25,Wolfgang Amadeus Mozart,1791,German,musician,dead,Wolfgang Amadeus Mozart was a German musician. He was born in 1756.,He was cited as one of the most popular astrologists of the 19th century.,filler,PastPass,deadPastPass,no,occupation,Wolfgang Amadeus Mozart*was*a German musician.*He*was born*in 1756.,He*was cited*as one of the most popular*astrologists*of the 19th century.,filler,be considered,Wolfgang_Amadeus_Mozart.jpg
6,6,Yoko Ono,alive,Japanese,artist and activist,alive,Yoko Ono is a Japanese artist and activist. She lives in Dakota.,She has been an activist for peace and human rights since the 1960s.,filler,PP,alivePP,yes,no,Yoko Ono*is*a Japanese artist and activist.*She*lives*in Dakota.,She*has been*an activist for peace*and human rights*since the 1960s.,filler,be,Yoko_Ono.png
